Rank,Title,Artist,Year,genius_url
83,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,https://genius.com/Billboard-longest-leading-hot-100-1s-december-16-2024-annotated
84,Do What U Want,Lady Gaga Featuring R. Kelly,2014,https://genius.com/Lady-gaga-do-what-u-want-lyrics
85,Can't Remember To Forget You,Shakira Featuring Rihanna,2014,https://genius.com/Shakira-cant-remember-to-forget-you-lyrics
86,Amnesia,5 Seconds Of Summer,2014,https://genius.com/5-seconds-of-summer-amnesia-lyrics
87,No Mediocre,T.I. Featuring Iggy Azalea,2014,https://genius.com/Bbc-radio-bbc-radio-1xtra-playlist-25th-august-31st-august-2014-lyrics
88,Come With Me Now,KONGOS,2014,https://genius.com/Kongos-come-with-me-now-lyrics
89,Believe Me,Lil Wayne Featuring Drake,2014,https://genius.com/Rg-users-top-ten-best-songs-2014-per-user-lyrics
90,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,https://genius.com/Genius-azrbaycan-trcum-mike-will-made-it-23-ft-juicy-j-miley-cyrus-and-wiz-khalifa-azrbaycan-trcum-lyrics
91,Beachin',Jake Owen,2014,https://genius.com/Jake-owen-beachin-lyrics
92,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,https://genius.com/Macklemore-and-ryan-lewis-white-walls-lyrics
93,She Looks So Perfect,5 Seconds Of Summer,2014,https://genius.com/5-seconds-of-summer-she-looks-so-perfect-lyrics
94,Stay The Night,Zedd Featuring Hayley Williams,2014,https://genius.com/Stay-the-night-stay-the-night-tribute-to-zedd-and-hayley-williams-lyrics
95,Partition,Beyonce,2014,https://genius.com/Beyonce-partition-lyrics
96,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,https://genius.com/Rap-genius-users-grammys-predictions-2015-annotated
97,0 To 100 / The Catch Up,Drake,2014,https://genius.com/Drake-0-to-100-the-catch-up-lyrics
98,I Don't Dance,Lee Brice,2014,https://genius.com/Lee-brice-i-dont-dance-lyrics
99,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,https://genius.com/Country-genius-list-of-number-one-country-songs-2010-2019-lyrics
100,Adore You,Miley Cyrus,2014,https://genius.com/Miley-cyrus-adore-you-lyrics
